0.1	203.29
0.2	201.15
0.3	200.55
0.4	198.57
0.5	192.06
0.6	196.87
0.7	191.81
0.8	204.22
0.9	195.07
1	190.34
1.1	193.41
1.2	189.3
1.3	200.49
1.4	193.84
1.5	193.05
1.6	190.52
1.7	200.18
1.8	194.82
1.9	193.72
2	194.64
2.1	190.34
2.2	201.58
2.3	194.45
2.4	193.72
2.5	199.6
2.6	200.36
2.7	195.83
2.8	198.11
2.9	193.36
3	191.55
3.1	196.57
3.2	192.64
3.3	194.86
3.4	186.16
3.5	199.85
3.6	189.44
3.7	198.75
3.8	197.38
3.9	182.73
4	175.97
4.1	165.29
4.2	169.34
4.3	163.32
4.4	170.75
4.5	164.06
4.6	170.63
4.7	165.66
4.8	174.89
4.9	168.37
5	171.06
5.1	172.72
5.2	168.17
5.3	164.43
5.4	166.46
5.5	164
5.6	164.42
5.7	161.73
5.8	141.96
5.9	148.89
6	144.9
6.1	154.17
6.2	153.19
6.3	143.43
6.4	135.2
6.5	145.82
6.6	154.3
6.7	144.78
6.8	148.96
6.9	132.68
7	135.39
7.1	136.43
7.2	131.83
7.3	133.79
7.4	126.05
7.5	132.13
7.6	135.33
7.7	132.93
7.8	130.35
7.9	130.6
8	122.62
8.1	138.82
8.2	135.14
8.3	119.67
8.4	125.93
8.5	126.42
8.6	118.69
8.7	129.12
8.8	127.16
8.9	114.57
9	120.16
9.1	127.9
9.2	121.57
9.3	122.66
9.4	124.33
9.5	120.46
9.6	120.1
9.7	126.31
9.8	120.1
9.9	120.29
10	111.75
10.1	112.06
10.2	109.91
10.3	115.56
10.4	116.91
10.5	118.88
10.6	124.65
10.7	130.85
10.8	115.93
10.9	125.51
11	114.31
11.1	122.99
11.2	124.71
11.3	125.69
11.4	110.88
11.5	117.9
11.6	114.03
11.7	118.51
11.8	117.3
11.9	111.01
12	117.65
12.1	124.53
12.2	114.06
12.3	118.72
12.4	114.95
12.5	114.71
12.6	107.71
12.7	114.95
12.8	119
12.9	125.14
13	112.37
13.1	109
13.2	117.47
13.3	115.87
13.4	109
13.5	102.98
13.6	116.67
13.7	103.41
13.8	107.1
13.9	117.93
14	107.52
14.1	106.31
14.2	112.37
14.3	101.75
14.4	116.33
14.5	120.04
14.6	118.38
14.7	122.68
14.8	122.31
14.9	108.01
15	123.24
15.1	122.19
15.2	125.63
15.3	133.61
15.4	124.46
15.5	118.02
15.6	115.56
15.7	114.21
15.8	122.07
15.9	117.1
16	127.23
16.1	121.52
16.2	119.12
16.3	123.54
16.4	117.71
16.5	126.18
16.6	116.79
16.7	120.1
16.8	118.66
16.9	115.95
17	114.86
17.1	114.31
17.2	114.54
17.3	124.48
17.4	115.91
17.5	110.9
17.6	113.44
17.7	114.51
17.8	102.36
17.9	108.16
18	109.92
18.1	119.34
18.2	125.42
18.3	117.43
18.4	112.5
18.5	111.85
18.6	118.29
18.7	119.71
18.8	110.99
18.9	116.08
19	114.49
